original_title,overview,popularity,release_date,title,vote_average,vote_count
Murder on the Orient Express,Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train.,27.79,2017-11-03,Murder on the Orient Express,6.7,9039
A Monster Calls,A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.,26.439,2016-10-07,A Monster Calls,7.3,3060
Svart krabba,"To end an apocalyptic war and save her daughter, a reluctant soldier embarks on a desperate mission to cross a frozen sea carrying a top-secret cargo.",32.224,2022-03-18,Black Crab,6.3,680
Sniper: Ghost Shooter,"Elite snipers Brandon Beckett and Richard Miller are tasked with protecting a gas pipeline from terrorists looking to make a statement. When battles with the enemy lead to snipers being killed by a ghost shooter who knows their exact location, tensions boil as a security breach is suspected. Is there someone working with the enemy on the inside? Is the mission a front for other activity? Is the Colonel pulling the strings?",26.207,2016-08-02,Sniper: Ghost Shooter,6.5,201
가슴 큰 여자친구,"Mincheol and Suhee go to greet Minchul father (grandmother) before marriage. Dae - sik welcomes her daughter - in - law, Su - hee. But before marriage, Minchol and Suhee are separated by the difference in personality. Soon-hee, who was only preparing for marriage, is soon to live.",22.711,2019-03-08,Busty Girlfriend,7.0,9
Era ora,"Dante accidentally kisses Alice and they get engaged. After a surprise party for his 40th birthday, he wakes up a year later, not remembering what happened. Not only does he discover that Alice is pregnant... He feels time is passing too quickly and he starts forgetting some of the most important moments of his life.",29.099,2023-03-16,Still Time,6.6,231
승리호,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.",30.698,2021-02-05,Space Sweepers,7.1,893
Halloween 4: The Return of Michael Myers,"The apparently comatose Michael Myers is being transferred from one hospital to another, but he wakes up when the ambulance crew talk about his surviving niece, Jamie. After slaughtering his attendants, Myers sets out to find his one living relative who is, fortunately, being cared for by a kind and resourceful foster sister named Rachel. Meanwhile, the ever-cautious Dr. Loomis remains on the killer's path.",28.076,1988-10-21,Halloween 4: The Return of Michael Myers,6.2,1672
Emmanuelle au 7ème ciel,"Through the wonders of virtual reality, Emmanuelle tries to help a former schoolmate to overcome a traumatic sexual past.",36.624,1993-09-19,Emmanuelle 7,4.5,14
The Marvels,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",26.15,2023-11-08,The Marvels,0.0,0
花と蛇3,"A businessman is ruthless with his competitors, and in response his competitors after being driven out of business kidnap aforementioned business man's wife and start training her to be a porn star, particularly of the S&amp;M/bondage variety",20.965,2010-08-28,Flower & Snake 3,5.9,18
アモン・サーガ,"Set in a world of fantasy and adventure, Amon is a young warrior embarking on a quest to avenge the death of his mother. When the hunt leads him ultimately to the kingdom of Valhiss, Amon enlists in the ranks of the Emperor's army in order to gain an opportunity to exact his revenge. However, a chance encounter with the Princess Lichia, being held captive by the Emperor in an effort to ransom a map away from his main rival, King Darai-Sem, Amon must decide whether to follow his path of revenge or to help rescue the Princess in an effort to save a lost kingdom.",32.851,1986-07-18,Amon Saga,5.8,6
Stand by Me,"Gordie, Chris, Teddy and Vern are four friends who decide to hike to find the corpse of Ray Brower, a local teenager, who was hit by a train while plucking blueberries in the wild.",29.82,1986-08-08,Stand by Me,7.9,5145
Hostel: Part II,"Three American college students studying abroad are lured to a Slovakian hostel, and discover the grim reality behind it.",26.972,2007-06-08,Hostel: Part II,5.8,1771
The Darkest Hour,"In Moscow, five young people lead the charge against an alien race which has attacked Earth via our power supply.",36.575,2011-12-22,The Darkest Hour,5.3,1301
State of Play,"When a congressional aide is killed, a Washington, D.C. journalist starts investigating the case involving the Representative, his old college friend.",24.82,2009-04-17,State of Play,6.8,1713
Mannequin,"Jonathan Switcher, an unemployed artist, finds a job as an assistant window dresser for a department store. When Jonathan happens upon a beautiful mannequin he previously designed, she springs to life and introduces herself as Emmy, an Egyptian under an ancient spell. Despite interference from the store's devious manager, Jonathan and his mannequin fall in love while creating eye-catching window displays to keep the struggling store in business.",33.665,1987-02-13,Mannequin,6.8,611
Austin Powers in Goldmember,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe—'70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.",26.814,2002-07-26,Austin Powers in Goldmember,6.0,2788
In from the Side,"Mark, a new and inexperienced rugby club member, finds himself drawn to Warren, a seasoned first team player. When a series of happenstances at an away fixture lead to a drunken encounter, Mark and Warren unwittingly embark on a romantic affair they struggle to hide from their partners and teammates.",35.163,2022-09-16,In from the Side,6.8,31
Groundhog Day,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",30.46,1993-02-11,Groundhog Day,7.6,7026
Igor,"A cliché hunchbacked evil scientist's assistant aspires to become a scientist himself, much to the displeasure of the rest of the evil science community.",26.061,2008-09-19,Igor,6.0,515
One Day,"A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.",35.66,2011-03-02,One Day,7.4,3826
Lawless,"In 1931, the Bondurant brothers of Franklin County, Virginia, run a multipurpose backwoods establishment that hides their true business — bootlegging. Middle brother Forrest is the brain of the operation; older Howard is the brawn, and younger Jack, the lookout. Though the local police have taken bribes and left the brothers alone, a violent war erupts when a sadistic lawman from Chicago arrives and tries to shut down the Bondurants operation.",28.76,2012-08-29,Lawless,7.0,2779
Charlie's Angels,"The captivating crime-fighting trio who are masters of disguise, espionage and martial arts are back! When a devious mastermind embroils them in a plot to destroy individual privacy, the Angels, aided by their loyal sidekick Bosley, set out to bring down the bad guys. But when a terrible secret is revealed, it makes the Angels targets for assassination.",27.556,2000-11-02,Charlie's Angels,5.8,3777
신과함께-인과 연,"As the deceased soul Ja-hong and his three afterlife guardians prepare for their remaining trials for reincarnation, the guardians soon come face to face with the truth of their tragic time on Earth 1,000 years earlier.",29.163,2018-08-01,Along with the Gods: The Last 49 Days,8.2,493
Balik Taya,"Pip meets Jessy in Thailand. When she becomes missing, he looks for her. He then meets Kate, a woman from a gambling site owned by Nina. And he is one step closer to finding Jessy.",26.98,2023-03-31,Balik Taya,3.0,2
The Lionheart,"The on-track death of two-time Indianapolis 500 winner Dan Wheldon shook motorsports to its core. Ten years later, Wheldon’s sons Sebastian and Oliver follow in their father’s footsteps, working through their grief behind the wheel at 200 MPH.",16.958,2023-06-10,The Lionheart,0.0,0
